difflen,D,biomass
0.030,1.0520,155
0.060,1.3412,654
0.120,1.5927,3362
0.240,1.7179,14549
0.050,1.3827,481
0.100,1.5206,2117
0.200,1.6977,10598
0.400,1.8286,23582
0.080,1.4702,1446
0.160,1.6217,5261
0.320,1.8163,22106
0.640,1.8322,24592
0.120,1.5895,4642
0.240,1.7479,16271
0.480,1.8399,24626
0.960,1.8288,25076
0.160,1.6361,6706
0.320,1.8123,21819
0.640,1.8365,24945
1.280,1.8141,24991
0.200,1.7423,15137
0.400,1.8441,24383
0.800,1.8344,25146
1.600,1.7914,24532
0.240,1.8023,20600
0.480,1.8509,25153
0.960,1.8334,25292
1.920,1.7807,24266
