rule,entropy,variance
0,0.00000,0.000000
1,1.52497,0.048011
2,1.51327,0.000000
3,2.24673,0.013925
4,1.65612,0.000000
5,2.50097,0.038244
6,2.24099,0.000151
7,2.05446,0.000992
8,0.00000,0.000000
9,2.79442,0.000898
10,2.28267,0.000000
11,2.50993,0.000000
12,2.20415,0.000000
13,1.78132,0.000000
14,2.20177,0.000000
15,2.99276,0.000000
16,1.51327,0.000000
17,2.24673,0.013925
18,2.23249,0.003218
19,2.27293,0.000000
20,2.23011,0.002449
21,2.12250,0.000678
22,2.67670,0.008881
23,2.28307,0.000000
24,1.86125,0.000000
25,2.91419,0.000165
26,2.75774,0.000120
27,2.83567,0.001250
28,2.04577,0.000000
29,2.86986,0.000000
30,2.98369,0.000196
31,2.08203,0.000458
32,0.00000,0.000000
33,2.38724,0.010702
34,2.20415,0.000000
35,2.49391,0.007427
36,0.81661,0.000000
37,2.36416,0.000324
38,2.46616,0.000294
39,2.89069,0.000181
40,0.00000,0.000000
41,2.74660,0.004375
42,2.77376,0.000000
43,2.20229,0.000000
44,1.81933,0.000000
45,2.99309,0.000022
46,2.42385,0.000000
47,2.53160,0.000000
48,2.20850,0.000000
49,2.50232,0.003738
50,2.18129,0.000000
51,2.99276,0.000000
52,2.42288,0.000184
53,2.86517,0.000210
54,2.90815,0.003417
55,2.29980,0.000000
56,2.13840,0.000000
57,1.00000,0.000000
58,1.91120,0.000000
59,2.52295,0.001518
60,2.98858,0.000099
61,2.93453,0.000216
62,2.14053,0.000595
63,2.35972,0.008571
64,0.00000,0.000000
65,2.75749,0.001169
66,1.90625,0.000000
67,2.93621,0.000062
68,2.20850,0.000000
69,1.74894,0.000000
70,2.05584,0.000000
71,2.84518,0.000000
72,1.16611,0.000000
73,2.90903,0.001155
74,2.67416,0.000156
75,2.99065,0.000037
76,2.61962,0.000000
77,2.18129,0.000000
78,1.79618,0.000000
79,1.79618,0.000000
80,2.28261,0.000000
81,2.51410,0.000000
82,2.73393,0.000178
83,2.85078,0.000946
84,2.20229,0.000000
85,2.99276,0.000000
86,2.98776,0.000072
87,2.08360,0.000429
