mu,sigma,alive
0.060,0.0040,0
0.060,0.0055,0
0.060,0.0070,0
0.060,0.0085,0
0.060,0.0100,0
0.060,0.0115,0
0.060,0.0130,0
0.060,0.0145,0
0.060,0.0160,0
0.060,0.0175,0
0.060,0.0190,0
0.060,0.0205,0
0.060,0.0220,0
0.060,0.0235,0
0.060,0.0250,0
0.060,0.0265,0
0.060,0.0280,0
0.060,0.0295,0
0.060,0.0310,0
0.060,0.0325,0
0.060,0.0340,0
0.060,0.0355,0
0.072,0.0040,0
0.072,0.0055,0
0.072,0.0070,0
0.072,0.0085,0
0.072,0.0100,0
0.072,0.0115,0
0.072,0.0130,0
0.072,0.0145,0
0.072,0.0160,0
0.072,0.0175,0
0.072,0.0190,0
0.072,0.0205,0
0.072,0.0220,0
0.072,0.0235,0
0.072,0.0250,0
0.072,0.0265,0
0.072,0.0280,0
0.072,0.0295,0
0.072,0.0310,0
0.072,0.0325,0
0.072,0.0340,0
0.072,0.0355,0
0.085,0.0040,0
0.085,0.0055,0
0.085,0.0070,0
0.085,0.0085,0
0.085,0.0100,0
0.085,0.0115,0
0.085,0.0130,0
0.085,0.0145,0
0.085,0.0160,0
0.085,0.0175,0
0.085,0.0190,0
0.085,0.0205,0
0.085,0.0220,0
0.085,0.0235,0
0.085,0.0250,0
0.085,0.0265,0
0.085,0.0280,0
0.085,0.0295,0
0.085,0.0310,0
0.085,0.0325,0
0.085,0.0340,0
0.085,0.0355,0
0.098,0.0040,0
0.098,0.0055,0
0.098,0.0070,0
0.098,0.0085,0
0.098,0.0100,0
0.098,0.0115,0
0.098,0.0130,0
0.098,0.0145,0
0.098,0.0160,0
0.098,0.0175,0
0.098,0.0190,0
0.098,0.0205,0
0.098,0.0220,0
0.098,0.0235,0
0.098,0.0250,0
0.098,0.0265,0
0.098,0.0280,0
0.098,0.0295,0
0.098,0.0310,0
0.098,0.0325,0
0.098,0.0340,0
0.098,0.0355,0
0.110,0.0040,0
0.110,0.0055,0
0.110,0.0070,0
0.110,0.0085,0
0.110,0.0100,1
0.110,0.0115,0
0.110,0.0130,0
0.110,0.0145,0
0.110,0.0160,0
0.110,0.0175,0
0.110,0.0190,0
0.110,0.0205,0
0.110,0.0220,0
0.110,0.0235,0
0.110,0.0250,0
0.110,0.0265,0
0.110,0.0280,0
0.110,0.0295,0
0.110,0.0310,0
0.110,0.0325,0
0.110,0.0340,0
0.110,0.0355,0
0.123,0.0040,0
0.123,0.0055,0
0.123,0.0070,0
0.123,0.0085,0
0.123,0.0100,0
0.123,0.0115,1
0.123,0.0130,1
0.123,0.0145,0
0.123,0.0160,0
0.123,0.0175,0
0.123,0.0190,0
0.123,0.0205,0
0.123,0.0220,0
0.123,0.0235,0
0.123,0.0250,0
0.123,0.0265,0
0.123,0.0280,0
0.123,0.0295,0
0.123,0.0310,0
0.123,0.0325,0
0.123,0.0340,0
0.123,0.0355,0
0.135,0.0040,0
